,,,,Overall,,,,,,,PP,,SH,,Defense,
Player_Name,Team,Pos,Games,G,A,Pts,plusminus,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Mikhail Sergachev,TB,D,16,2,8,10,-3,12,27,0,0,3,0,0,22,19
Jakob Chychrun,ARI,D,19,2,3,5,-21,26,62,0,1,0,0,0,29,19
Yakov Trenin,NSH,C,18,2,3,5,1,9,27,1,0,0,0,0,38,14
Nicolas Roy,VGK,C,17,2,7,9,5,25,31,0,0,0,0,0,22,11
Christian Fischer,ARI,RW,14,2,3,5,-2,4,14,0,0,0,0,0,11,8
Vladislav Gavrikov,CLS,D,16,2,7,9,12,10,21,1,0,0,0,0,20,27
Jack Roslovic,CLS,RW,16,2,5,7,3,2,24,0,0,0,0,0,7,2
Luke Kunin,NSH,C,18,2,4,6,1,10,23,0,0,1,0,0,48,10
Brett Howden,VGK,C,16,2,2,4,3,4,10,1,0,0,0,0,20,11
Ryan Lindgren,NYR,D,18,2,1,3,4,6,19,1,0,0,0,0,25,38
Dillon Dube,CGY,C,20,2,7,9,0,4,45,0,0,1,0,1,18,3
Nico Hischier,NJ,C,16,2,8,10,5,4,32,0,1,1,0,1,11,12
Steven Lorentz,CAR,C,15,2,0,2,2,4,16,1,0,0,0,0,14,5
Neal Pionk,WPG,D,18,2,9,11,1,12,42,1,1,3,0,0,56,25
Andreas Athanasiou,LA,C,8,2,3,5,2,0,18,1,0,1,0,0,3,3
Tanner Pearson,VAN,LW,19,2,4,6,1,8,46,1,0,0,0,0,20,12
Colton Sissons,NSH,RW,18,2,4,6,0,4,20,0,0,0,0,0,25,12
Jacob Trouba,NYR,D,18,2,5,7,5,24,48,1,0,0,0,0,47,36
Matt Dumba,MIN,D,18,2,8,10,0,12,45,1,0,3,0,0,34,31
Radek Faksa,DAL,C,17,2,4,6,-5,15,19,0,1,0,0,0,28,20
Sean Monahan,CGY,C,20,2,7,9,-5,4,25,2,2,5,0,0,13,10
Jonathan Drouin,MON,C,14,2,7,9,-4,8,25,0,0,3,0,0,11,5
Seth Jones,CHI,D,19,2,13,15,-8,8,54,0,0,6,0,1,17,37
Anthony Mantha,WAS,RW,10,2,4,6,0,4,16,0,0,2,0,0,7,6
Alexander Wennberg,SEA,C,18,2,9,11,-5,6,28,0,0,3,0,0,7,5
Adam Erne,DET,RW,19,2,3,5,-5,7,26,0,0,0,0,0,51,15
Nikita Zadorov,CGY,D,14,2,2,4,3,8,21,0,0,0,0,0,26,12
Max Domi,CLS,C,6,2,5,7,5,2,10,0,0,0,0,0,1,1
Mark Scheifele,WPG,C,12,2,5,7,0,2,25,1,0,1,0,0,2,12
Jonas Brodin,MIN,D,18,2,5,7,0,0,34,0,0,1,0,0,14,27
Victor Rask,MIN,C,10,2,3,5,6,2,14,0,0,0,0,0,5,1
Adam Lowry,WPG,LW,18,2,2,4,2,12,17,0,0,0,0,1,52,9
Ryan Strome,NYR,C,14,2,9,11,3,10,30,2,0,3,0,0,7,3
Cal Clutterbuck,NYI,RW,15,2,0,2,-6,4,17,1,0,0,0,0,61,7
Darren Helm,COL,C,15,2,2,4,-2,6,27,0,0,0,1,1,18,8
Max Pacioretty,VGK,LW,2,2,1,3,3,0,13,0,0,0,0,0,2,4
Dustin Brown,LA,RW,18,2,5,7,-1,2,55,0,0,0,0,0,36,2
Patric Hornqvist,FLA,RW,18,2,7,9,-1,7,35,0,1,2,0,0,30,7
James van Riemsdyk,PHI,LW,17,2,4,6,0,6,41,1,1,0,0,0,6,5
Sam Gagner,DET,C,20,2,6,8,-6,10,30,0,0,1,0,0,5,9
Brian Boyle,PIT,C,14,2,0,2,-1,9,21,0,0,0,0,0,16,9
Andrew Cogliano,SJ,LW,17,2,2,4,1,6,19,0,0,0,1,0,20,4
James Neal,STL,RW,17,2,2,4,-1,0,29,1,1,1,0,0,14,3
Trevor Lewis,CGY,C,20,2,2,4,3,2,33,0,0,0,0,0,47,10
Brad Richardson,CGY,C,11,2,1,3,3,6,8,0,0,0,0,0,19,3
Erik Johnson,COL,D,15,2,3,5,7,4,28,1,0,0,0,1,33,28
Jordan Staal,CAR,C,17,2,5,7,4,8,34,0,1,0,0,0,42,10
Oliver Ekman-Larsson,VAN,D,19,2,2,4,2,22,54,0,2,0,0,0,29,15
Tomas Tatar,NJ,LW,16,2,5,7,-3,8,32,0,1,1,0,0,19,5
Brayden McNabb,VGK,D,19,2,4,6,1,10,14,0,0,0,0,0,42,46
Dmitry Orlov,WAS,D,19,2,6,8,12,20,26,2,0,0,0,0,29,25
Alex Chiasson,VAN,RW,14,2,2,4,-1,16,16,0,2,2,0,0,19,3
Cody Eakin,BUF,C,13,2,1,3,-6,8,22,0,1,0,0,0,5,8
Nick Bjugstad,MIN,C,15,2,0,2,-2,6,26,0,0,0,0,0,21,5
Riley Sheahan,SEA,C,14,1,2,3,0,0,14,0,0,0,0,0,3,7
Justin Braun,PHI,D,17,1,7,8,2,10,22,0,0,0,0,0,23,35
Chris Tanev,CGY,D,20,1,4,5,6,6,19,0,0,0,0,0,10,28
Jakob Silfverberg,ANH,RW,13,1,8,9,6,6,32,0,1,1,0,0,6,10
Nicolas Deslauriers,ANH,LW,19,1,2,3,-5,14,18,0,0,0,0,0,86,13
Erik Haula,BOS,C,15,1,2,3,-3,4,24,0,0,0,0,0,28,8
Tyler Ennis,OTT,LW,15,1,8,9,-2,6,22,0,1,2,0,0,21,6
Josh Bailey,NYI,LW,12,1,5,6,-5,0,8,1,0,2,0,0,7,6
Michael Del Zotto,OTT,D,9,1,4,5,-9,2,12,0,1,1,0,0,23,11
Justin Schultz,WAS,D,19,1,1,2,2,2,17,1,1,0,0,0,10,26
Ryan Ellis,PHI,D,4,1,4,5,2,0,6,0,0,2,0,0,1,6
Kyle Palmieri,NYI,RW,15,1,6,7,-3,31,36,0,0,1,0,0,13,4
Marcus Johansson,SEA,LW,7,1,3,4,-5,0,19,0,1,2,0,0,0,2
Dmitry Kulikov,MIN,D,17,1,6,7,5,4,10,0,0,0,0,0,24,20
Tyler Bozak,STL,C,18,1,6,7,-2,6,18,0,0,1,0,1,5,5
Nate Thompson,PHI,C,17,1,0,1,-6,29,7,0,0,0,0,0,25,8
Jack Johnson,COL,D,14,1,1,2,2,24,10,0,0,0,0,0,15,10
Corey Perry,TB,RW,18,1,2,3,-3,15,33,0,0,0,0,0,21,10
Duncan Keith,EDM,D,18,1,4,5,-1,2,22,1,0,0,0,0,8,29
Sidney Crosby,PIT,C,6,1,1,2,-3,2,13,1,0,1,0,0,5,2
Alexander Radulov,DAL,RW,17,1,7,8,-8,4,33,0,0,5,0,0,12,17
Blake Comeau,DAL,LW,6,1,0,1,-1,4,2,0,0,0,0,0,13,3
Alex Goligoski,MIN,D,15,1,11,12,4,10,18,0,0,2,0,0,15,18
Ryan Getzlaf,ANH,C,19,1,18,19,2,4,52,1,1,4,0,0,34,17
Brent Burns,SJ,D,18,1,11,12,-4,12,53,0,1,2,0,1,9,37
Joe Thornton,FLA,C,8,1,1,2,1,4,6,0,1,0,0,0,9,2
Lars Eller,WAS,C,15,1,7,8,6,8,26,0,0,1,0,0,12,9
Kyle Turris,EDM,C,14,1,1,2,-4,4,12,0,0,0,0,0,6,3
Anton Stralman,ARI,D,15,1,1,2,-8,2,20,0,0,0,0,0,12,23
Jakub Voracek,CLS,LW,16,1,14,15,-2,10,30,0,1,7,0,0,6,4
Kris Letang,PIT,D,14,1,9,10,5,8,30,1,0,1,0,0,40,22
Brendan Smith,CAR,D,6,1,0,1,-2,2,6,1,0,0,0,0,14,3
Ryan McDonagh,TB,D,18,1,6,7,0,6,25,0,0,0,0,0,31,38
P.K. Subban,NJ,D,16,1,8,9,-2,8,33,1,0,0,0,1,23,26
Wayne Simmonds,TOR,RW,19,1,3,4,-1,15,34,0,0,0,0,0,31,3
Drew Doughty,LA,D,4,1,6,7,2,2,6,0,1,2,0,0,5,0
Zach Bogosian,TB,D,7,1,3,4,2,7,11,1,0,0,0,0,16,1
Ryan Nugent-Hopkins,EDM,LW,18,1,18,19,5,2,38,0,0,12,0,1,12,11
Adam Larsson,SEA,D,18,1,4,5,-7,12,26,1,0,1,0,0,49,35
Tyler Johnson,CHI,C,8,1,2,3,-6,10,11,0,0,2,0,0,16,3
Jake Muzzin,TOR,D,20,1,5,6,-5,6,22,0,0,0,0,1,46,24
Jon Merrill,MIN,D,18,1,5,6,2,6,15,0,0,0,0,0,12,25
Kevin Hayes,PHI,C,2,1,1,2,0,2,6,0,0,1,0,0,3,1
Calle Jarnkrok,SEA,C,13,1,1,2,-7,2,15,0,0,0,0,0,7,3
Nick Cousins,NSH,C,14,1,2,3,-3,4,24,0,1,1,0,0,10,9
William Karlsson,VGK,C,8,1,2,3,-4,0,17,0,0,0,0,0,5,6
Connor Murphy,CHI,D,19,1,1,2,-13,16,15,0,0,0,0,0,44,42
Logan Shaw,OTT,RW,15,1,2,3,-2,2,16,0,0,0,0,0,8,4
Robert Bortuzzo,STL,D,15,1,1,2,0,9,9,0,0,0,0,0,27,16
Scott Mayfield,NYI,D,15,1,0,1,-7,26,21,0,0,0,0,0,21,31
Joel Armia,MON,RW,20,1,3,4,3,6,42,0,0,0,0,0,43,10
Robert Hagg,BUF,D,18,1,3,4,-7,13,17,0,0,0,0,0,35,44
Andrej Sustr,TB,D,8,1,0,1,1,2,8,0,0,0,0,0,2,2
Nathan MacKinnon,COL,C,8,1,9,10,-3,4,23,0,1,1,0,0,10,12
Mike Reilly,BOS,D,13,1,2,3,2,4,23,0,0,1,1,0,20,11
Jake McCabe,CHI,D,19,1,1,2,-8,6,19,0,0,0,0,0,41,42
Antoine Roussel,ARI,LW,15,1,0,1,-8,33,16,0,0,0,0,0,14,9
Cody Ceci,EDM,D,18,1,4,5,-2,2,24,0,0,0,0,0,28,26
Craig Smith,BOS,RW,10,1,1,2,-6,2,24,0,0,0,0,0,12,1
Nikita Kucherov,TB,RW,3,1,3,4,0,0,9,0,1,2,0,0,2,2
Jean-Gabriel Pageau,NYI,C,14,1,3,4,0,0,21,0,0,0,0,0,28,6
Jordan Martinook,CAR,LW,17,1,4,5,0,8,13,0,0,0,0,0,21,3
Damon Severson,NJ,D,15,1,3,4,-2,16,27,0,0,2,0,0,14,31
Devin Shore,EDM,C,8,1,1,2,-3,4,5,0,0,0,0,0,10,5
Hampus Lindholm,ANH,D,19,1,6,7,7,14,34,1,0,1,0,0,11,23
Brady Skjei,CAR,D,17,1,3,4,4,12,33,0,0,0,0,0,20,18
Mike Matheson,PIT,D,15,1,6,7,0,2,22,1,0,1,0,0,16,17
Ryan Lomberg,FLA,LW,9,1,2,3,4,19,15,1,0,0,0,0,29,0
Vinni Lettieri,ANH,C,3,1,1,2,0,0,6,0,1,1,0,0,7,0
Tucker Poolman,VAN,D,16,1,2,3,5,10,16,0,0,0,0,0,14,28
Gabriel Vilardi,LA,C,7,1,0,1,-5,2,7,0,1,0,0,0,0,5
Nolan Patrick,VGK,C,4,1,0,1,1,0,10,0,0,0,0,0,6,1
Trevor Moore,LA,LW,18,1,1,2,0,4,32,0,0,0,0,0,18,7
Josh Mahura,ANH,D,9,1,1,2,-4,2,7,0,0,0,0,0,16,13
Garrett Pilon,WAS,C,2,1,0,1,1,0,1,0,0,0,0,0,2,0
Zack MacEwen,PHI,C,15,1,0,1,-5,11,18,1,0,0,0,0,29,7
Filip Hronek,DET,D,18,1,8,9,0,24,27,0,0,2,0,0,15,33
Henrik Borgstrom,CHI,C,10,1,1,2,-3,0,11,0,0,1,0,0,3,5
Givani Smith,DET,LW,14,1,0,1,-5,19,13,0,0,0,0,0,24,6
Samuel Girard,COL,D,13,1,8,9,1,8,19,0,0,1,0,0,12,21
Nathan Bastian,SEA,RW,12,1,1,2,-1,31,10,0,0,0,0,0,16,6
Tyson Jost,COL,C,15,1,3,4,1,6,22,0,0,0,0,1,16,9
Julien Gauthier,NYR,RW,9,1,1,2,0,2,22,1,0,0,0,0,25,2
Alexandre Carrier,NSH,D,15,1,4,5,1,12,14,0,0,0,0,0,5,27
Keegan Kolesar,VGK,RW,19,1,5,6,-3,18,36,0,0,0,0,0,60,14
Vince Dunn,SEA,D,16,1,6,7,-6,7,21,0,0,1,0,0,18,9
Ethan Bear,CAR,D,16,1,5,6,8,12,23,0,0,0,0,0,14,17
Carter Rowney,DET,C,10,1,0,1,-4,0,5,0,0,0,0,0,20,4
Derek Ryan,EDM,C,16,1,0,1,-11,2,15,0,0,0,0,0,6,10
Gabriel Carlsson,CLS,D,7,1,1,2,0,0,4,0,0,0,0,0,6,5
Nikita Zaitsev,OTT,D,11,1,0,1,-4,6,11,0,0,0,0,0,27,20
Dominik Simon,PIT,C,12,1,3,4,0,0,12,1,0,1,0,0,9,4
Dryden Hunt,NYR,LW,18,1,1,2,-4,8,21,0,0,0,0,0,33,0
Josh Manson,ANH,D,19,1,1,2,3,28,28,0,0,0,0,0,49,20
Jujhar Khaira,CHI,C,13,1,0,1,-2,7,10,0,0,0,0,0,49,6
Jason Dickinson,VAN,C,17,1,2,3,3,11,22,0,0,0,0,0,24,12
Artturi Lehkonen,MON,LW,20,1,6,7,1,10,29,0,0,0,0,0,23,9
Brett Pesce,CAR,D,12,1,4,5,-1,6,19,1,1,2,0,0,7,16
Mattias Janmark,VGK,C,14,1,2,3,-3,4,23,1,0,0,0,0,0,2
Nate Schmidt,WPG,D,18,1,10,11,7,0,33,1,0,6,0,0,11,28
Marcus Pettersson,PIT,D,14,1,3,4,7,6,18,0,0,0,0,0,27,10
Dysin Mayo,ARI,D,14,1,0,1,-1,4,15,0,0,0,0,0,15,32
Nicolas Aube-Kubel,COL,C,10,1,1,2,-3,10,14,0,0,0,0,0,21,3
Nic Dowd,WAS,C,11,1,1,2,0,4,13,0,0,0,0,0,20,10
Kyle Burroughs,VAN,D,15,1,0,1,-6,11,17,0,0,0,0,0,47,24
Ryan Graves,NJ,D,16,1,6,7,7,4,25,0,0,0,0,0,27,31
Dylan DeMelo,WPG,D,18,1,2,3,3,6,14,0,0,0,1,0,19,21
Dylan Strome,CHI,C,12,1,2,3,-1,14,19,1,1,0,0,0,2,7
Noah Hanifin,CGY,D,19,1,7,8,14,2,37,0,0,3,0,0,11,20
Colton Parayko,STL,D,18,1,7,8,-3,8,36,0,0,1,0,0,14,32
Bryan Rust,PIT,RW,11,1,7,8,1,4,31,0,0,1,0,0,3,4
Liam O'Brien,ARI,C,13,1,1,2,1,36,7,0,0,0,0,0,32,2
Brandon Carlo,BOS,D,15,1,1,2,-1,6,34,0,0,0,0,0,24,25
Evgeny Svechnikov,WPG,LW,17,1,5,6,4,8,21,0,0,0,0,0,26,6
Nicholas Merkley,SJ,C,7,1,2,3,-3,0,6,0,0,1,0,0,7,1
Ivan Provorov,PHI,D,17,1,4,5,-1,10,30,0,1,2,0,0,12,42
Kristian Vesalainen,WPG,LW,15,1,0,1,3,0,11,0,0,0,0,0,19,1
Jonas Rondbjerg,VGK,RW,12,1,2,3,2,0,9,0,0,0,0,0,5,4
Eeli Tolvanen,NSH,LW,18,1,4,5,1,0,45,0,0,3,0,0,31,5
Michael Rasmussen,DET,C,20,1,6,7,-4,10,30,0,0,0,0,0,27,17
Maxim Mamin,FLA,LW,4,1,0,1,-2,0,5,0,0,0,0,0,9,1
Jake Leschyshyn,VGK,C,17,1,3,4,-1,6,17,0,0,0,0,0,17,14
Parker Kelly,OTT,C,9,1,1,2,-1,4,8,0,0,0,0,0,24,8
Dylan Coghlan,VGK,D,16,1,3,4,-5,2,24,1,1,1,0,0,13,10
Adam Gaudette,CHI,C,8,1,1,2,-3,4,10,0,1,0,0,0,9,1
Mason Marchment,FLA,LW,10,1,6,7,7,6,15,0,0,0,0,0,24,2
Simon Benoit,ANH,D,8,1,0,1,3,0,5,0,0,0,0,0,32,5
Reese Johnson,CHI,RW,11,1,1,2,-3,5,7,0,0,0,0,0,46,4
Ty Smith,NJ,D,13,1,2,3,-4,4,15,0,0,0,0,0,11,14
Colin Blackwell,SEA,C,4,1,1,2,1,0,6,0,0,0,0,0,7,0
Niko Mikkola,STL,D,3,1,0,1,4,0,2,0,0,0,0,0,6,1
Alexander Romanov,MON,D,19,1,1,2,-4,9,21,0,0,0,0,0,59,26
Ross Colton,TB,LW,18,1,2,3,-2,4,38,0,0,2,0,0,30,7
Blake Lizotte,LA,LW,17,1,4,5,3,6,21,0,0,0,0,0,13,2
Ryan Merkley,SJ,D,6,1,0,1,0,2,7,0,0,0,0,0,1,4
Michael Pezzetta,MON,C,9,1,1,2,-2,17,10,0,0,0,0,0,21,2
Adam Boqvist,CLS,D,9,1,0,1,-2,0,9,0,0,0,0,0,5,6
Karson Kuhlman,BOS,C,11,1,1,2,1,0,12,0,0,0,0,0,24,5
Benoit-Olivier Groulx,ANH,C,15,1,2,3,1,2,14,0,0,0,0,0,18,5
Pierre Engvall,TOR,LW,20,1,3,4,0,10,43,0,1,0,0,0,16,2
Calen Addison,MIN,D,2,1,0,1,0,0,2,0,0,0,0,0,2,1
Hendrix Lapierre,WAS,C,6,1,0,1,2,2,7,0,0,0,0,0,1,2
Justin Danforth,CLS,RW,3,1,0,1,0,0,7,0,0,0,0,0,11,0
Artem Zub,OTT,D,16,1,5,6,1,8,17,0,0,0,0,0,28,38
Jake Neighbours,STL,LW,9,1,1,2,-2,2,8,1,0,0,0,0,10,1
John Marino,PIT,D,18,1,8,9,-6,2,25,0,0,2,0,0,23,23
Tim Stutzle,OTT,LW,16,1,6,7,-8,8,32,1,1,4,0,0,18,9
Yegor Chinakhov,CLS,RW,12,1,3,4,-3,4,24,0,0,0,0,0,2,4
Gregory Hofmann,CLS,LW,15,1,4,5,5,8,15,1,0,0,0,0,15,5
Daniil Miromanov,VGK,RW,3,0,1,1,1,0,3,0,0,0,0,0,1,2
Max Willman,PHI,LW,5,0,0,0,-3,4,6,0,0,0,0,0,6,0
Mike Hardman,CHI,RW,13,0,1,1,-6,6,9,0,0,0,0,0,38,9
Isaak Phillips,CHI,D,3,0,0,0,-1,4,2,0,0,0,0,0,1,0
Matt Kiersted,FLA,D,2,0,1,1,1,0,2,0,0,0,0,0,2,3
Walker Duehr,CGY,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Holtz,NJ,RW,6,0,2,2,-2,2,11,0,0,1,0,0,3,2
Cole Perfetti,WPG,LW,2,0,0,0,-2,0,1,0,0,0,0,0,1,0
Tyce Thompson,NJ,C,2,0,0,0,0,0,3,0,0,0,0,0,2,0
Pavel Dorofeyev,VGK,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathieu Olivier,NSH,RW,5,0,1,1,0,12,1,0,0,0,0,0,11,4
Tobias Bjornfot,LA,D,18,0,3,3,3,2,20,0,0,0,0,0,2,23
Adam Beckman,MIN,LW,3,0,1,1,-1,2,4,0,0,0,0,0,1,1
Mikhail Maltsev,COL,C,3,0,0,0,-3,0,4,0,0,0,0,0,3,1
Mattias Norlinder,MON,D,2,0,0,0,1,0,1,0,0,0,0,0,2,1
Alexei Protas,WAS,C,8,0,1,1,0,0,7,0,0,0,0,0,2,1
Alex Belzile,MON,LW,8,0,0,0,1,2,9,0,0,0,0,0,6,3
Joel Kiviranta,DAL,RW,15,0,2,2,-1,6,10,0,0,0,0,0,35,6
Artemi Kniazev,SJ,D,1,0,0,0,-2,0,2,0,0,0,0,0,1,0
Dakota Joshua,STL,LW,6,0,0,0,-2,5,5,0,0,0,0,0,17,0
Kirill Semyonov,TOR,C,2,0,0,0,-1,0,1,0,0,0,0,0,4,0
Santeri Hatakka,SJ,D,7,0,1,1,-3,2,2,0,0,0,0,0,4,5
Ben McCartney,ARI,LW,2,0,0,0,0,4,2,0,0,0,0,0,7,0
Vladimir Tkachev,LA,LW,4,0,2,2,-2,2,1,0,0,2,0,0,1,0
William Eklund,SJ,LW,9,0,4,4,-3,2,8,0,0,3,0,0,4,4
John Leonard,SJ,C,5,0,0,0,-1,0,9,0,0,0,0,0,3,1
Jon Lizotte,MIN,D,1,0,0,0,0,2,1,0,0,0,0,0,3,4
Martin Kaut,COL,RW,6,0,0,0,2,0,1,0,0,0,0,0,6,3
Nicolas Beaudin,CHI,D,1,0,0,0,-1,0,1,0,0,0,0,0,0,1
Philipp Kurashev,CHI,LW,17,0,5,5,-4,8,25,0,0,2,0,0,3,5
Rasmus Sandin,TOR,D,19,0,4,4,1,0,20,0,0,1,0,0,29,12
Nils Lundkvist,NYR,D,13,0,2,2,-1,0,10,0,0,0,0,0,7,10
Jacob Bernard-Docker,OTT,D,2,0,1,1,1,0,0,0,0,0,0,0,1,0
Juuso Riikola,PIT,D,5,0,1,1,2,2,7,0,0,0,0,0,13,2
Ilya Lyubushkin,ARI,D,19,0,3,3,-5,12,15,0,0,0,0,0,40,26
Jan Jenik,ARI,C,1,0,0,0,0,0,1,0,0,0,0,0,3,1
Egor Sokolov,OTT,LW,4,0,0,0,-2,4,5,0,0,0,0,0,3,2
Sampo Ranta,COL,LW,10,0,0,0,-4,2,9,0,0,0,0,0,9,6
Scott Perunovich,STL,D,4,0,1,1,1,0,4,0,0,0,0,0,2,1
Connor Clifton,BOS,D,11,0,1,1,-4,15,20,0,0,0,0,0,34,6
Noah Dobson,NYI,D,14,0,4,4,1,4,26,0,0,1,0,0,21,30
Peyton Krebs,BUF,C,9,0,0,0,-6,2,10,0,0,0,0,0,6,3
Thomas Harley,DAL,D,4,0,0,0,1,0,5,0,0,0,0,0,4,5
Lassi Thomson,OTT,D,4,0,2,2,-4,2,5,0,0,1,0,0,10,2
Cole Caufield,MON,RW,12,0,1,1,-7,2,24,0,0,0,0,0,1,0
Shane Pinto,OTT,C,5,0,1,1,0,2,5,0,0,1,0,0,0,1
Philip Broberg,EDM,D,2,0,1,1,-1,2,6,0,0,0,0,0,1,0
Victor Soderstrom,ARI,D,9,0,0,0,-3,4,6,0,0,0,0,0,4,9
Jacob Bryson,BUF,D,18,0,5,5,-4,8,7,0,0,4,0,0,14,23
Sean Walker,LA,D,6,0,2,2,-1,4,18,0,0,1,0,0,9,9
Connor Dewar,MIN,C,4,0,0,0,-3,6,4,0,0,0,0,0,6,3
Oskar Steen,BOS,C,2,0,2,2,1,0,1,0,0,0,0,0,0,0
Grant Hutton,NYI,D,2,0,0,0,-1,0,3,0,0,0,0,0,0,4
Morgan Barron,NYR,LW,2,0,0,0,0,2,0,0,0,0,0,0,2,0
Jack Rathbone,VAN,D,9,0,0,0,-5,2,10,0,0,0,0,0,5,8
Kiefer Sherwood,COL,LW,7,0,1,1,2,0,5,0,0,0,0,0,8,3
Christian Wolanin,BUF,D,1,0,0,0,-2,0,0,0,0,0,0,0,0,2
Marian Studenic,NJ,RW,5,0,0,0,-1,0,9,0,0,0,0,0,3,3
Riley Stillman,CHI,D,12,0,2,2,-4,7,8,0,0,0,0,0,34,12
Sam Lafferty,PIT,RW,5,0,1,1,0,7,6,0,0,0,0,0,16,0
Ben Jones,VGK,C,2,0,0,0,0,2,1,0,0,0,0,0,4,1
Jacob MacDonald,COL,D,3,0,0,0,-1,0,8,0,0,0,0,0,4,1
Dylan Sikura,COL,LW,1,0,0,0,-1,0,0,0,0,0,0,0,0,1
Erik Brannstrom,OTT,D,2,0,0,0,0,2,1,0,0,0,0,0,1,2
Gustav Lindstrom,DET,D,14,0,2,2,-4,6,14,0,0,0,0,0,12,24
Fabian Zetterlund,NJ,LW,2,0,0,0,1,0,3,0,0,0,0,0,4,1
Jack Studnicka,BOS,C,4,0,1,1,-1,2,4,0,0,0,0,0,5,0
Jonah Gadjovich,SJ,LW,10,0,1,1,-4,31,5,0,0,0,0,0,27,1
Sebastian Aho,NYI,D,4,0,0,0,-4,0,10,0,0,0,0,0,5,2
Mason Appleton,SEA,C,7,0,1,1,0,0,9,0,0,0,0,0,6,4
Cal Foote,TB,D,9,0,1,1,0,0,8,0,0,0,0,0,10,9
Juuso Valimaki,CGY,D,8,0,2,2,1,10,11,0,0,0,0,0,7,9
Kole Lind,SEA,RW,1,0,0,0,-2,2,0,0,0,0,0,0,1,0
Henri Jokiharju,BUF,D,2,0,1,1,-1,4,1,0,0,0,0,0,0,0
Maxime Comtois,ANH,LW,13,0,1,1,-3,11,19,0,0,0,0,0,16,4
Robin Salo,NYI,D,2,0,0,0,-3,0,3,0,0,0,0,0,0,5
Scott Reedy,SJ,C,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Jesper Boqvist,NJ,C,5,0,1,1,-4,2,6,0,0,0,0,0,5,0
Conor Timmins,ARI,D,6,0,0,0,-6,0,5,0,0,0,0,0,7,9
Lias Andersson,LA,LW,3,0,0,0,-1,0,3,0,0,0,0,0,1,0
Ian Mitchell,CHI,D,3,0,1,1,-1,0,2,0,0,1,0,0,2,2
Mikey Anderson,LA,D,18,0,0,0,5,2,17,0,0,0,0,0,27,24
Pierre-Olivier Joseph,PIT,D,4,0,0,0,-2,2,7,0,0,0,0,0,6,4
Radim Simek,SJ,D,10,0,0,0,-3,2,11,0,0,0,0,0,17,8
Christian Jaros,NJ,D,2,0,0,0,0,0,3,0,0,0,0,0,3,1
Jakub Zboril,BOS,D,5,0,2,2,2,0,6,0,0,0,0,0,14,7
Thomas Chabot,OTT,D,16,0,6,6,3,6,43,0,0,3,0,0,22,27
Jordan Greenway,MIN,LW,14,0,3,3,6,15,17,0,0,0,0,0,28,7
Ben Harpur,NSH,D,4,0,0,0,-6,4,3,0,0,0,0,0,9,8
Andrew Agozzino,OTT,LW,1,0,0,0,0,0,1,0,0,0,0,0,4,0
Gustav Forsling,FLA,D,18,0,11,11,6,10,39,0,0,0,0,0,13,22
Ben Hutton,VGK,D,5,0,2,2,-1,12,5,0,0,0,0,0,5,7
Mason Geertsen,NJ,D,5,0,0,0,-1,19,1,0,0,0,0,0,15,1
Tanner Kero,DAL,LW,7,0,2,2,0,0,3,0,0,0,0,0,3,3
Josh Brown,OTT,D,13,0,0,0,-5,7,11,0,0,0,0,0,38,18
Fredrik Claesson,TB,D,3,0,0,0,-1,0,2,0,0,0,0,0,4,3
Jaycob Megna,SJ,D,6,0,0,0,3,4,5,0,0,0,0,0,7,5
Pierre-Edouard Bellemare,TB,C,18,0,2,2,1,2,16,0,0,0,0,0,28,13
Ross Johnston,NYI,LW,1,0,0,0,-1,0,0,0,0,0,0,0,4,0
Sammy Blais,NYR,LW,14,0,4,4,3,17,17,0,0,0,0,0,37,8
Jacob Middleton,SJ,D,12,0,2,2,5,24,14,0,0,0,0,0,18,13
MacKenzie Weegar,FLA,D,18,0,9,9,14,8,34,0,0,0,0,0,53,36
Trevor van Riemsdyk,WAS,D,19,0,6,6,6,4,24,0,0,0,0,1,8,30
Kurtis MacDermid,COL,D,5,0,0,0,-3,0,4,0,0,0,0,0,6,4
Oskar Sundqvist,STL,C,4,0,1,1,0,4,4,0,0,0,0,0,7,1
Max McCormick,SEA,LW,5,0,0,0,0,4,6,0,0,0,0,0,6,3
Juho Lammikko,VAN,RW,19,0,1,1,-5,2,13,0,0,0,0,0,19,13
Jake Walman,STL,D,14,0,2,2,2,2,17,0,0,0,0,0,9,12
Mark Friedman,PIT,D,11,0,4,4,3,6,11,0,0,0,0,0,19,13
Michael Amadio,VGK,C,10,0,0,0,-1,0,8,0,0,0,0,0,8,4
Joel Hanley,DAL,D,6,0,0,0,-3,0,2,0,0,0,0,0,6,6
Nick Schmaltz,ARI,RW,6,0,1,1,-8,2,10,0,0,0,0,0,0,2
Travis Sanheim,PHI,D,17,0,3,3,7,4,28,0,0,0,0,0,11,27
Brendan Perlini,EDM,LW,12,0,0,0,-3,2,6,0,0,0,0,0,16,1
Nick Ritchie,TOR,LW,20,0,3,3,-4,13,31,0,0,2,0,0,46,8
